Option,Element,Value,Centroid.1,Lower.1,Upper.1,Property.1,OptionNumber
Do nothing,Bison,Adequate Resources,-26.48,-57.28,12.72,Abundance,1
Do nothing,Bison,Aesthetically Pleasing Environment,-63.64,-72.44,-24.44,Abundance,1
Do nothing,Bison,Benign Physical Environment,-8.24,-17.04,22.96,Abundance,1
Do nothing,Bison,Cultural Heritage Fulfilment,-9.52,-36.12,22.88,Abundance,1
Do nothing,Bison,Meaningful Occupation,-26.48,-57.28,12.72,Abundance,1
Do nothing,Bison,Protection from other Organisms,-8.24,-17.04,22.96,Abundance,1
Do nothing,Bison,Recreational Enjoyment,-82.92,-91.72,-43.72,Abundance,1
Do nothing,Bison,Social Fulfilment,-26.48,-57.28,12.72,Abundance,1
Do nothing,Bison,Spiritual-philosophical Fulfilment,-26.48,-57.28,12.72,Abundance,1
Maintain Current,Bison,Adequate Resources,0,-27.68,24.52,Abundance,2
Maintain Current,Bison,Aesthetically Pleasing Environment,0,-30,23.96,Abundance,2
Maintain Current,Bison,Benign Physical Environment,0,-17.04,29.36,Abundance,2
Maintain Current,Bison,Cultural Heritage Fulfilment,0,-33.08,33.08,Abundance,2
Maintain Current,Bison,Meaningful Occupation,0,-27.68,24.52,Abundance,2
Maintain Current,Bison,Protection from other Organisms,0,-17.04,29.36,Abundance,2
Maintain Current,Bison,Recreational Enjoyment,0,-75.4,4.68,Abundance,2
Maintain Current,Bison,Social Fulfilment,0,-27.68,24.52,Abundance,2
Maintain Current,Bison,Spiritual-philosophical Fulfilment,0,-27.68,24.52,Abundance,2
Maintain Current/Hyp,Bison,Adequate Resources,2.52,-34.88,30.72,Abundance,3
Maintain Current/Hyp,Bison,Aesthetically Pleasing Environment,3.96,-43.68,27.56,Abundance,3
Maintain Current/Hyp,Bison,Benign Physical Environment,0.36,-17.04,30.96,Abundance,3
Maintain Current/Hyp,Bison,Cultural Heritage Fulfilment,1.08,-35.96,37.88,Abundance,3
Maintain Current/Hyp,Bison,Meaningful Occupation,2.52,-34.88,30.72,Abundance,3
Maintain Current/Hyp,Bison,Protection from other Organisms,0.36,-17.04,30.96,Abundance,3
Maintain Current/Hyp,Bison,Recreational Enjoyment,-20.52,-44.44,-29.72,Abundance,3
Maintain Current/Hyp,Bison,Social Fulfilment,2.52,-34.88,30.72,Abundance,3
Maintain Current/Hyp,Bison,Spiritual-philosophical Fulfilment,2.52,-34.88,30.72,Abundance,3
Maintain Current/Hyp/Rei,Bison,Adequate Resources,2.52,-34.88,30.72,Abundance,4
Maintain Current/Hyp/Rei,Bison,Aesthetically Pleasing Environment,3.96,-43.68,27.56,Abundance,4
Maintain Current/Hyp/Rei,Bison,Benign Physical Environment,0.36,-17.04,30.96,Abundance,4
Maintain Current/Hyp/Rei,Bison,Cultural Heritage Fulfilment,1.08,-35.96,37.88,Abundance,4
Maintain Current/Hyp/Rei,Bison,Meaningful Occupation,2.52,-34.88,30.72,Abundance,4
Maintain Current/Hyp/Rei,Bison,Protection from other Organisms,0.36,-17.04,30.96,Abundance,4
Maintain Current/Hyp/Rei,Bison,Recreational Enjoyment,-20.52,-44.44,-29.72,Abundance,4
Maintain Current/Hyp/Rei,Bison,Social Fulfilment,2.52,-34.88,30.72,Abundance,4
Maintain Current/Hyp/Rei,Bison,Spiritual-philosophical Fulfilment,2.52,-34.88,30.72,Abundance,4
Maintain Current/Hyp/Rei/SW,Bison,Adequate Resources,2.52,-34.88,30.72,Abundance,5
Maintain Current/Hyp/Rei/SW,Bison,Aesthetically Pleasing Environment,3.96,-43.68,27.56,Abundance,5
Maintain Current/Hyp/Rei/SW,Bison,Benign Physical Environment,0.36,-17.04,30.96,Abundance,5
Maintain Current/Hyp/Rei/SW,Bison,Cultural Heritage Fulfilment,1.08,-35.96,37.88,Abundance,5
Maintain Current/Hyp/Rei/SW,Bison,Meaningful Occupation,2.52,-34.88,30.72,Abundance,5
Maintain Current/Hyp/Rei/SW,Bison,Protection from other Organisms,0.36,-17.04,30.96,Abundance,5
Maintain Current/Hyp/Rei/SW,Bison,Recreational Enjoyment,-20.52,-44.44,-29.72,Abundance,5
Maintain Current/Hyp/Rei/SW,Bison,Social Fulfilment,2.52,-34.88,30.72,Abundance,5
Maintain Current/Hyp/Rei/SW,Bison,Spiritual-philosophical Fulfilment,2.52,-34.88,30.72,Abundance,5
Maintain Current/Hyp/SW,Bison,Adequate Resources,2.52,-34.88,30.72,Abundance,6
Maintain Current/Hyp/SW,Bison,Aesthetically Pleasing Environment,3.96,-43.68,27.56,Abundance,6
Maintain Current/Hyp/SW,Bison,Benign Physical Environment,0.36,-17.04,30.96,Abundance,6
Maintain Current/Hyp/SW,Bison,Cultural Heritage Fulfilment,1.08,-35.96,37.88,Abundance,6
Maintain Current/Hyp/SW,Bison,Meaningful Occupation,2.52,-34.88,30.72,Abundance,6
Maintain Current/Hyp/SW,Bison,Protection from other Organisms,0.36,-17.04,30.96,Abundance,6
Maintain Current/Hyp/SW,Bison,Recreational Enjoyment,-20.52,-44.44,-29.72,Abundance,6
Maintain Current/Hyp/SW,Bison,Social Fulfilment,2.52,-34.88,30.72,Abundance,6
Maintain Current/Hyp/SW,Bison,Spiritual-philosophical Fulfilment,2.52,-34.88,30.72,Abundance,6
Maintain Current/Rei,Bison,Adequate Resources,2.52,-34.88,30.72,Abundance,7
Maintain Current/Rei,Bison,Aesthetically Pleasing Environment,3.96,-43.68,27.56,Abundance,7
Maintain Current/Rei,Bison,Benign Physical Environment,0.36,-17.04,30.96,Abundance,7
Maintain Current/Rei,Bison,Cultural Heritage Fulfilment,1.08,-35.96,37.88,Abundance,7
Maintain Current/Rei,Bison,Meaningful Occupation,2.52,-34.88,30.72,Abundance,7
Maintain Current/Rei,Bison,Protection from other Organisms,0.36,-17.04,30.96,Abundance,7
Maintain Current/Rei,Bison,Recreational Enjoyment,-20.52,-44.44,-29.72,Abundance,7
Maintain Current/Rei,Bison,Social Fulfilment,2.52,-34.88,30.72,Abundance,7
Maintain Current/Rei,Bison,Spiritual-philosophical Fulfilment,2.52,-34.88,30.72,Abundance,7
Maintain Current/Rei/SW,Bison,Adequate Resources,2.52,-34.88,30.72,Abundance,8
Maintain Current/Rei/SW,Bison,Aesthetically Pleasing Environment,3.96,-43.68,27.56,Abundance,8
Maintain Current/Rei/SW,Bison,Benign Physical Environment,0.36,-17.04,30.96,Abundance,8
Maintain Current/Rei/SW,Bison,Cultural Heritage Fulfilment,1.08,-35.96,37.88,Abundance,8
Maintain Current/Rei/SW,Bison,Meaningful Occupation,2.52,-34.88,30.72,Abundance,8
Maintain Current/Rei/SW,Bison,Protection from other Organisms,0.36,-17.04,30.96,Abundance,8
Maintain Current/Rei/SW,Bison,Recreational Enjoyment,-20.52,-44.44,-29.72,Abundance,8
Maintain Current/Rei/SW,Bison,Social Fulfilment,2.52,-34.88,30.72,Abundance,8
Maintain Current/Rei/SW,Bison,Spiritual-philosophical Fulfilment,2.52,-34.88,30.72,Abundance,8
Maintain Current/SW,Bison,Adequate Resources,2.52,-34.88,30.72,Abundance,9
Maintain Current/SW,Bison,Aesthetically Pleasing Environment,3.96,-43.68,27.56,Abundance,9
Maintain Current/SW,Bison,Benign Physical Environment,0.36,-17.04,30.96,Abundance,9
Maintain Current/SW,Bison,Cultural Heritage Fulfilment,1.08,-35.96,37.88,Abundance,9
Maintain Current/SW,Bison,Meaningful Occupation,2.52,-34.88,30.72,Abundance,9
Maintain Current/SW,Bison,Protection from other Organisms,0.36,-17.04,30.96,Abundance,9
Maintain Current/SW,Bison,Recreational Enjoyment,-20.52,-44.44,-29.72,Abundance,9
Maintain Current/SW,Bison,Social Fulfilment,2.52,-34.88,30.72,Abundance,9
Maintain Current/SW,Bison,Spiritual-philosophical Fulfilment,2.52,-34.88,30.72,Abundance,9
Do nothing,Fairies,Adequate Resources,-3.2,-14,30,Abundance,1
Do nothing,Fairies,Aesthetically Pleasing Environment,-6.4,-46,31,Abundance,1
Do nothing,Fairies,Benign Physical Environment,-3.2,-14,30,Abundance,1
Do nothing,Fairies,Cultural Heritage Fulfilment,-3.2,-33,33,Abundance,1
Do nothing,Fairies,Meaningful Occupation,-3.2,-14,30,Abundance,1
Do nothing,Fairies,Protection from other Organisms,-3.2,-14,30,Abundance,1
Do nothing,Fairies,Recreational Enjoyment,-6.4,-46,31,Abundance,1
Do nothing,Fairies,Social Fulfilment,-6.4,-46,31,Abundance,1
Do nothing,Fairies,Spiritual-philosophical Fulfilment,-6.4,-46,31,Abundance,1
Maintain Current,Fairies,Adequate Resources,-0.32,-14,32.4,Abundance,2
Maintain Current,Fairies,Aesthetically Pleasing Environment,-0.64,-31.92,35.8,Abundance,2
Maintain Current,Fairies,Benign Physical Environment,-0.32,-14,32.4,Abundance,2
Maintain Current,Fairies,Cultural Heritage Fulfilment,-0.32,-33,36.2,Abundance,2
Maintain Current,Fairies,Meaningful Occupation,-0.32,-14,32.4,Abundance,2
Maintain Current,Fairies,Protection from other Organisms,-0.32,-14,32.4,Abundance,2
Maintain Current,Fairies,Recreational Enjoyment,-0.64,-31.92,35.8,Abundance,2
Maintain Current,Fairies,Social Fulfilment,-0.64,-31.92,35.8,Abundance,2
Maintain Current,Fairies,Spiritual-philosophical Fulfilment,-0.64,-31.92,35.8,Abundance,2
Maintain Current/Hyp,Fairies,Adequate Resources,3.600005067,-13.99999467,34.00000533,Abundance,3
Maintain Current/Hyp,Fairies,Aesthetically Pleasing Environment,15.2000088,-21.99999467,42.00001067,Abundance,3
Maintain Current/Hyp,Fairies,Benign Physical Environment,3.600005067,-13.99999467,34.00000533,Abundance,3
Maintain Current/Hyp,Fairies,Cultural Heritage Fulfilment,4.800004533,-32.1999968,41.00000533,Abundance,3
Maintain Current/Hyp,Fairies,Meaningful Occupation,3.600005067,-13.99999467,34.00000533,Abundance,3
Maintain Current/Hyp,Fairies,Protection from other Organisms,3.600005067,-13.99999467,34.00000533,Abundance,3
Maintain Current/Hyp,Fairies,Recreational Enjoyment,15.2000088,-21.99999467,42.00001067,Abundance,3
Maintain Current/Hyp,Fairies,Social Fulfilment,15.2000088,-21.99999467,42.00001067,Abundance,3
Maintain Current/Hyp,Fairies,Spiritual-philosophical Fulfilment,15.2000088,-21.99999467,42.00001067,Abundance,3
Maintain Current/Hyp/Rei,Fairies,Adequate Resources,3.600005067,-13.99999467,34.00000533,Abundance,4
Maintain Current/Hyp/Rei,Fairies,Aesthetically Pleasing Environment,15.2000088,-21.99999467,42.00001067,Abundance,4
Maintain Current/Hyp/Rei,Fairies,Benign Physical Environment,3.600005067,-13.99999467,34.00000533,Abundance,4
Maintain Current/Hyp/Rei,Fairies,Cultural Heritage Fulfilment,4.800004533,-32.1999968,41.00000533,Abundance,4
Maintain Current/Hyp/Rei,Fairies,Meaningful Occupation,3.600005067,-13.99999467,34.00000533,Abundance,4
Maintain Current/Hyp/Rei,Fairies,Protection from other Organisms,3.600005067,-13.99999467,34.00000533,Abundance,4
Maintain Current/Hyp/Rei,Fairies,Recreational Enjoyment,15.2000088,-21.99999467,42.00001067,Abundance,4
Maintain Current/Hyp/Rei,Fairies,Social Fulfilment,15.2000088,-21.99999467,42.00001067,Abundance,4
Maintain Current/Hyp/Rei,Fairies,Spiritual-philosophical Fulfilment,15.2000088,-21.99999467,42.00001067,Abundance,4
Maintain Current/Hyp/Rei/SW,Fairies,Adequate Resources,3.600005067,-13.99999467,34.00000533,Abundance,5
Maintain Current/Hyp/Rei/SW,Fairies,Aesthetically Pleasing Environment,15.2000088,-21.99999467,42.00001067,Abundance,5
Maintain Current/Hyp/Rei/SW,Fairies,Benign Physical Environment,3.600005067,-13.99999467,34.00000533,Abundance,5
Maintain Current/Hyp/Rei/SW,Fairies,Cultural Heritage Fulfilment,4.800004533,-32.1999968,41.00000533,Abundance,5
Maintain Current/Hyp/Rei/SW,Fairies,Meaningful Occupation,3.600005067,-13.99999467,34.00000533,Abundance,5
Maintain Current/Hyp/Rei/SW,Fairies,Protection from other Organisms,3.600005067,-13.99999467,34.00000533,Abundance,5
Maintain Current/Hyp/Rei/SW,Fairies,Recreational Enjoyment,15.2000088,-21.99999467,42.00001067,Abundance,5
Maintain Current/Hyp/Rei/SW,Fairies,Social Fulfilment,15.2000088,-21.99999467,42.00001067,Abundance,5
Maintain Current/Hyp/Rei/SW,Fairies,Spiritual-philosophical Fulfilment,15.2000088,-21.99999467,42.00001067,Abundance,5
Maintain Current/Hyp/SW,Fairies,Adequate Resources,3.600005067,-13.99999467,34.00000533,Abundance,6
Maintain Current/Hyp/SW,Fairies,Aesthetically Pleasing Environment,15.2000088,-21.99999467,42.00001067,Abundance,6
Maintain Current/Hyp/SW,Fairies,Benign Physical Environment,3.600005067,-13.99999467,34.00000533,Abundance,6
Maintain Current/Hyp/SW,Fairies,Cultural Heritage Fulfilment,4.800004533,-32.1999968,41.00000533,Abundance,6
Maintain Current/Hyp/SW,Fairies,Meaningful Occupation,3.600005067,-13.99999467,34.00000533,Abundance,6
Maintain Current/Hyp/SW,Fairies,Protection from other Organisms,3.600005067,-13.99999467,34.00000533,Abundance,6
Maintain Current/Hyp/SW,Fairies,Recreational Enjoyment,15.2000088,-21.99999467,42.00001067,Abundance,6
Maintain Current/Hyp/SW,Fairies,Social Fulfilment,15.2000088,-21.99999467,42.00001067,Abundance,6
Maintain Current/Hyp/SW,Fairies,Spiritual-philosophical Fulfilment,15.2000088,-21.99999467,42.00001067,Abundance,6
Maintain Current/Rei,Fairies,Adequate Resources,-0.32,-14,32.4,Abundance,7
Maintain Current/Rei,Fairies,Aesthetically Pleasing Environment,-0.64,-31.92,35.8,Abundance,7
Maintain Current/Rei,Fairies,Benign Physical Environment,-0.32,-14,32.4,Abundance,7
Maintain Current/Rei,Fairies,Cultural Heritage Fulfilment,-0.32,-33,36.2,Abundance,7
Maintain Current/Rei,Fairies,Meaningful Occupation,-0.32,-14,32.4,Abundance,7
Maintain Current/Rei,Fairies,Protection from other Organisms,-0.32,-14,32.4,Abundance,7
Maintain Current/Rei,Fairies,Recreational Enjoyment,-0.64,-31.92,35.8,Abundance,7
Maintain Current/Rei,Fairies,Social Fulfilment,-0.64,-31.92,35.8,Abundance,7
Maintain Current/Rei,Fairies,Spiritual-philosophical Fulfilment,-0.64,-31.92,35.8,Abundance,7
Maintain Current/Rei/SW,Fairies,Adequate Resources,-0.32,-14,32.4,Abundance,8
Maintain Current/Rei/SW,Fairies,Aesthetically Pleasing Environment,-0.64,-31.92,35.8,Abundance,8
Maintain Current/Rei/SW,Fairies,Benign Physical Environment,-0.32,-14,32.4,Abundance,8
Maintain Current/Rei/SW,Fairies,Cultural Heritage Fulfilment,-0.32,-33,36.2,Abundance,8
Maintain Current/Rei/SW,Fairies,Meaningful Occupation,-0.32,-14,32.4,Abundance,8
Maintain Current/Rei/SW,Fairies,Protection from other Organisms,-0.32,-14,32.4,Abundance,8
Maintain Current/Rei/SW,Fairies,Recreational Enjoyment,-0.64,-31.92,35.8,Abundance,8
Maintain Current/Rei/SW,Fairies,Social Fulfilment,-0.64,-31.92,35.8,Abundance,8
Maintain Current/Rei/SW,Fairies,Spiritual-philosophical Fulfilment,-0.64,-31.92,35.8,Abundance,8
Maintain Current/SW,Fairies,Adequate Resources,-0.32,-14,32.4,Abundance,9
Maintain Current/SW,Fairies,Aesthetically Pleasing Environment,-0.64,-31.92,35.8,Abundance,9
Maintain Current/SW,Fairies,Benign Physical Environment,-0.32,-14,32.4,Abundance,9
Maintain Current/SW,Fairies,Cultural Heritage Fulfilment,-0.32,-33,36.2,Abundance,9
Maintain Current/SW,Fairies,Meaningful Occupation,-0.32,-14,32.4,Abundance,9
Maintain Current/SW,Fairies,Protection from other Organisms,-0.32,-14,32.4,Abundance,9
Maintain Current/SW,Fairies,Recreational Enjoyment,-0.64,-31.92,35.8,Abundance,9
Maintain Current/SW,Fairies,Social Fulfilment,-0.64,-31.92,35.8,Abundance,9
Maintain Current/SW,Fairies,Spiritual-philosophical Fulfilment,-0.64,-31.92,35.8,Abundance,9
Do nothing,Forest of Tranquility,Adequate Resources,-5.51,-40.99,26.01,Species Richness,1
Do nothing,Forest of Tranquility,Aesthetically Pleasing Environment,-5.51,-40.99,26.01,Species Richness,1
Do nothing,Forest of Tranquility,Benign Physical Environment,-6.01,-34.98,40.01,Species Richness,1
Do nothing,Forest of Tranquility,Cultural Heritage Fulfilment,-5.51,-40.99,26.01,Species Richness,1
Do nothing,Forest of Tranquility,Meaningful Occupation,-5.51,-40.99,26.01,Species Richness,1
Do nothing,Forest of Tranquility,Protection from other Organisms,-1.5,-16.99,30,Species Richness,1
Do nothing,Forest of Tranquility,Recreational Enjoyment,-1.5,-35.99,34,Species Richness,1
Do nothing,Forest of Tranquility,Social Fulfilment,-1.5,-35.99,34,Species Richness,1
Do nothing,Forest of Tranquility,Spiritual-philosophical Fulfilment,-5.51,-40.99,26.01,Species Richness,1
Maintain Current,Forest of Tranquility,Adequate Resources,0,-38,28.51,Species Richness,2
Maintain Current,Forest of Tranquility,Aesthetically Pleasing Environment,0,-38,28.51,Species Richness,2
Maintain Current,Forest of Tranquility,Benign Physical Environment,0,-30.5,42.52,Species Richness,2
Maintain Current,Forest of Tranquility,Cultural Heritage Fulfilment,0,-38,28.51,Species Richness,2
Maintain Current,Forest of Tranquility,Meaningful Occupation,0,-38,28.51,Species Richness,2
Maintain Current,Forest of Tranquility,Protection from other Organisms,0,-16.99,30.5,Species Richness,2
Maintain Current,Forest of Tranquility,Recreational Enjoyment,0,-35.99,36,Species Richness,2
Maintain Current,Forest of Tranquility,Social Fulfilment,0,-35.99,36,Species Richness,2
Maintain Current,Forest of Tranquility,Spiritual-philosophical Fulfilment,0,-38,28.51,Species Richness,2
Maintain Current/Hyp,Forest of Tranquility,Adequate Resources,1.41,-34,30.02,Species Richness,3
Maintain Current/Hyp,Forest of Tranquility,Aesthetically Pleasing Environment,1.41,-34,30.02,Species Richness,3
Maintain Current/Hyp,Forest of Tranquility,Benign Physical Environment,3,-25.09,44.02,Species Richness,3
Maintain Current/Hyp,Forest of Tranquility,Cultural Heritage Fulfilment,1.41,-34,30.02,Species Richness,3
Maintain Current/Hyp,Forest of Tranquility,Meaningful Occupation,1.41,-34,30.02,Species Richness,3
Maintain Current/Hyp,Forest of Tranquility,Protection from other Organisms,1.41,-34,30.02,Species Richness,3
Maintain Current/Hyp,Forest of Tranquility,Recreational Enjoyment,0.6,-35.6,37.2,Species Richness,3
Maintain Current/Hyp,Forest of Tranquility,Social Fulfilment,0.6,-35.6,37.2,Species Richness,3
Maintain Current/Hyp,Forest of Tranquility,Spiritual-philosophical Fulfilment,1.41,-34,30.02,Species Richness,3
Maintain Current/Hyp/Rei,Forest of Tranquility,Adequate Resources,1.41,-34,30.02,Species Richness,4
Maintain Current/Hyp/Rei,Forest of Tranquility,Aesthetically Pleasing Environment,1.41,-34,30.02,Species Richness,4
Maintain Current/Hyp/Rei,Forest of Tranquility,Benign Physical Environment,3,-25.09,44.02,Species Richness,4
Maintain Current/Hyp/Rei,Forest of Tranquility,Cultural Heritage Fulfilment,1.41,-34,30.02,Species Richness,4
Maintain Current/Hyp/Rei,Forest of Tranquility,Meaningful Occupation,1.41,-34,30.02,Species Richness,4
Maintain Current/Hyp/Rei,Forest of Tranquility,Protection from other Organisms,1.41,-34,30.02,Species Richness,4
Maintain Current/Hyp/Rei,Forest of Tranquility,Recreational Enjoyment,0.6,-35.6,37.2,Species Richness,4
Maintain Current/Hyp/Rei,Forest of Tranquility,Social Fulfilment,0.6,-35.6,37.2,Species Richness,4
Maintain Current/Hyp/Rei,Forest of Tranquility,Spiritual-philosophical Fulfilment,1.41,-34,30.02,Species Richness,4
Maintain Current/Hyp/Rei/SW,Forest of Tranquility,Adequate Resources,1.41,-34,30.02,Species Richness,5
Maintain Current/Hyp/Rei/SW,Forest of Tranquility,Aesthetically Pleasing Environment,1.41,-34,30.02,Species Richness,5
Maintain Current/Hyp/Rei/SW,Forest of Tranquility,Benign Physical Environment,3,-25.09,44.02,Species Richness,5
Maintain Current/Hyp/Rei/SW,Forest of Tranquility,Cultural Heritage Fulfilment,1.41,-34,30.02,Species Richness,5
Maintain Current/Hyp/Rei/SW,Forest of Tranquility,Meaningful Occupation,1.41,-34,30.02,Species Richness,5
Maintain Current/Hyp/Rei/SW,Forest of Tranquility,Protection from other Organisms,1.41,-34,30.02,Species Richness,5
Maintain Current/Hyp/Rei/SW,Forest of Tranquility,Recreational Enjoyment,0.6,-35.6,37.2,Species Richness,5
Maintain Current/Hyp/Rei/SW,Forest of Tranquility,Social Fulfilment,0.6,-35.6,37.2,Species Richness,5
Maintain Current/Hyp/Rei/SW,Forest of Tranquility,Spiritual-philosophical Fulfilment,1.41,-34,30.02,Species Richness,5
Maintain Current/Hyp/SW,Forest of Tranquility,Adequate Resources,1.41,-34,30.02,Species Richness,6
Maintain Current/Hyp/SW,Forest of Tranquility,Aesthetically Pleasing Environment,1.41,-34,30.02,Species Richness,6
Maintain Current/Hyp/SW,Forest of Tranquility,Benign Physical Environment,3,-25.09,44.02,Species Richness,6
Maintain Current/Hyp/SW,Forest of Tranquility,Cultural Heritage Fulfilment,1.41,-34,30.02,Species Richness,6
Maintain Current/Hyp/SW,Forest of Tranquility,Meaningful Occupation,1.41,-34,30.02,Species Richness,6
Maintain Current/Hyp/SW,Forest of Tranquility,Protection from other Organisms,1.41,-34,30.02,Species Richness,6
Maintain Current/Hyp/SW,Forest of Tranquility,Recreational Enjoyment,0.6,-35.6,37.2,Species Richness,6
Maintain Current/Hyp/SW,Forest of Tranquility,Social Fulfilment,0.6,-35.6,37.2,Species Richness,6
Maintain Current/Hyp/SW,Forest of Tranquility,Spiritual-philosophical Fulfilment,1.41,-34,30.02,Species Richness,6
Maintain Current/Rei,Forest of Tranquility,Adequate Resources,0,-38,28.51,Species Richness,7
Maintain Current/Rei,Forest of Tranquility,Aesthetically Pleasing Environment,0,-38,28.51,Species Richness,7
Maintain Current/Rei,Forest of Tranquility,Benign Physical Environment,0,-30.5,42.52,Species Richness,7
Maintain Current/Rei,Forest of Tranquility,Cultural Heritage Fulfilment,0,-38,28.51,Species Richness,7
Maintain Current/Rei,Forest of Tranquility,Meaningful Occupation,0,-38,28.51,Species Richness,7
Maintain Current/Rei,Forest of Tranquility,Protection from other Organisms,0,-16.99,30.5,Species Richness,7
Maintain Current/Rei,Forest of Tranquility,Recreational Enjoyment,0,-35.99,36,Species Richness,7
Maintain Current/Rei,Forest of Tranquility,Social Fulfilment,0,-35.99,36,Species Richness,7
Maintain Current/Rei,Forest of Tranquility,Spiritual-philosophical Fulfilment,0,-38,28.51,Species Richness,7
Maintain Current/Rei/SW,Forest of Tranquility,Adequate Resources,0,-38,28.51,Species Richness,8
Maintain Current/Rei/SW,Forest of Tranquility,Aesthetically Pleasing Environment,0,-38,28.51,Species Richness,8
Maintain Current/Rei/SW,Forest of Tranquility,Benign Physical Environment,0,-30.5,42.52,Species Richness,8
Maintain Current/Rei/SW,Forest of Tranquility,Cultural Heritage Fulfilment,0,-38,28.51,Species Richness,8
Maintain Current/Rei/SW,Forest of Tranquility,Meaningful Occupation,0,-38,28.51,Species Richness,8
Maintain Current/Rei/SW,Forest of Tranquility,Protection from other Organisms,0,-16.99,30.5,Species Richness,8
Maintain Current/Rei/SW,Forest of Tranquility,Recreational Enjoyment,0,-35.99,36,Species Richness,8
Maintain Current/Rei/SW,Forest of Tranquility,Social Fulfilment,0,-35.99,36,Species Richness,8
Maintain Current/Rei/SW,Forest of Tranquility,Spiritual-philosophical Fulfilment,0,-38,28.51,Species Richness,8
Maintain Current/SW,Forest of Tranquility,Adequate Resources,0,-38,28.51,Species Richness,9
Maintain Current/SW,Forest of Tranquility,Aesthetically Pleasing Environment,0,-38,28.51,Species Richness,9
Maintain Current/SW,Forest of Tranquility,Benign Physical Environment,0,-30.5,42.52,Species Richness,9
Maintain Current/SW,Forest of Tranquility,Cultural Heritage Fulfilment,0,-38,28.51,Species Richness,9
Maintain Current/SW,Forest of Tranquility,Meaningful Occupation,0,-38,28.51,Species Richness,9
Maintain Current/SW,Forest of Tranquility,Protection from other Organisms,0,-16.99,30.5,Species Richness,9
Maintain Current/SW,Forest of Tranquility,Recreational Enjoyment,0,-35.99,36,Species Richness,9
Maintain Current/SW,Forest of Tranquility,Social Fulfilment,0,-35.99,36,Species Richness,9
Maintain Current/SW,Forest of Tranquility,Spiritual-philosophical Fulfilment,0,-38,28.51,Species Richness,9
Do nothing,Insects,Adequate Resources,-2.52,-42.6,25.2,Species Richness,1
Do nothing,Insects,Aesthetically Pleasing Environment,-0.36,-17.4,30,Species Richness,1
Do nothing,Insects,Benign Physical Environment,0,-41.4,38,Species Richness,1
Do nothing,Insects,Cultural Heritage Fulfilment,-2.52,-42.6,25.2,Species Richness,1
Do nothing,Insects,Meaningful Occupation,-1.08,-75.8,4.8,Species Richness,1
Do nothing,Insects,Protection from other Organisms,0,-11,29.4,Species Richness,1
Do nothing,Insects,Recreational Enjoyment,0,-19,19.4,Species Richness,1
