Option,Element,Value,Centroid.1,Lower.1,Upper.1,Property.1,OptionNumber
Do nothing,Insects,Social Fulfilment,0,-19,19.4,Species Richness,1
Do nothing,Insects,Spiritual-philosophical Fulfilment,-2.52,-42.6,25.2,Species Richness,1
Maintain Current,Insects,Adequate Resources,-0.42,-40.44,26.4,Species Richness,2
Maintain Current,Insects,Aesthetically Pleasing Environment,-0.06,-17.4,30.24,Species Richness,2
Maintain Current,Insects,Benign Physical Environment,0,-42.12,38,Species Richness,2
Maintain Current,Insects,Cultural Heritage Fulfilment,-0.42,-40.44,26.4,Species Richness,2
Maintain Current,Insects,Meaningful Occupation,-0.18,-62.48,4.8,Species Richness,2
Maintain Current,Insects,Protection from other Organisms,0,-11,29.64,Species Richness,2
Maintain Current,Insects,Recreational Enjoyment,0,-19,19.64,Species Richness,2
Maintain Current,Insects,Social Fulfilment,0,-19,19.64,Species Richness,2
Maintain Current,Insects,Spiritual-philosophical Fulfilment,-0.42,-40.44,26.4,Species Richness,2
Maintain Current/Hyp,Insects,Adequate Resources,4.2,-33.8,28.2,Species Richness,3
Maintain Current/Hyp,Insects,Aesthetically Pleasing Environment,0.6,-17.4,30.6,Species Richness,3
Maintain Current/Hyp,Insects,Benign Physical Environment,0,-43.8,38,Species Richness,3
Maintain Current/Hyp,Insects,Cultural Heritage Fulfilment,4.2,-33.8,28.2,Species Richness,3
Maintain Current/Hyp,Insects,Meaningful Occupation,1.8,-41,4.8,Species Richness,3
Maintain Current/Hyp,Insects,Protection from other Organisms,0,-11,30,Species Richness,3
Maintain Current/Hyp,Insects,Recreational Enjoyment,0,-11,30,Species Richness,3
Maintain Current/Hyp,Insects,Social Fulfilment,0,-19,20,Species Richness,3
Maintain Current/Hyp,Insects,Spiritual-philosophical Fulfilment,4.2,-33.8,28.2,Species Richness,3
Maintain Current/Hyp/Rei,Insects,Adequate Resources,4.2,-33.8,28.2,Species Richness,4
Maintain Current/Hyp/Rei,Insects,Aesthetically Pleasing Environment,0.6,-17.4,30.6,Species Richness,4
Maintain Current/Hyp/Rei,Insects,Benign Physical Environment,0,-43.8,38,Species Richness,4
Maintain Current/Hyp/Rei,Insects,Cultural Heritage Fulfilment,4.2,-33.8,28.2,Species Richness,4
Maintain Current/Hyp/Rei,Insects,Meaningful Occupation,1.8,-41,4.8,Species Richness,4
Maintain Current/Hyp/Rei,Insects,Protection from other Organisms,0,-11,30,Species Richness,4
Maintain Current/Hyp/Rei,Insects,Recreational Enjoyment,0,-11,30,Species Richness,4
Maintain Current/Hyp/Rei,Insects,Social Fulfilment,0,-19,20,Species Richness,4
Maintain Current/Hyp/Rei,Insects,Spiritual-philosophical Fulfilment,4.2,-33.8,28.2,Species Richness,4
Maintain Current/Hyp/Rei/SW,Insects,Adequate Resources,4.2,-33.8,28.2,Species Richness,5
Maintain Current/Hyp/Rei/SW,Insects,Aesthetically Pleasing Environment,0.6,-17.4,30.6,Species Richness,5
Maintain Current/Hyp/Rei/SW,Insects,Benign Physical Environment,0,-43.8,38,Species Richness,5
Maintain Current/Hyp/Rei/SW,Insects,Cultural Heritage Fulfilment,4.2,-33.8,28.2,Species Richness,5
Maintain Current/Hyp/Rei/SW,Insects,Meaningful Occupation,1.8,-41,4.8,Species Richness,5
Maintain Current/Hyp/Rei/SW,Insects,Protection from other Organisms,0,-11,30,Species Richness,5
Maintain Current/Hyp/Rei/SW,Insects,Recreational Enjoyment,0,-11,30,Species Richness,5
Maintain Current/Hyp/Rei/SW,Insects,Social Fulfilment,0,-19,20,Species Richness,5
Maintain Current/Hyp/Rei/SW,Insects,Spiritual-philosophical Fulfilment,4.2,-33.8,28.2,Species Richness,5
Maintain Current/Hyp/SW,Insects,Adequate Resources,4.2,-33.8,28.2,Species Richness,6
Maintain Current/Hyp/SW,Insects,Aesthetically Pleasing Environment,0.6,-17.4,30.6,Species Richness,6
Maintain Current/Hyp/SW,Insects,Benign Physical Environment,0,-43.8,38,Species Richness,6
Maintain Current/Hyp/SW,Insects,Cultural Heritage Fulfilment,4.2,-33.8,28.2,Species Richness,6
Maintain Current/Hyp/SW,Insects,Meaningful Occupation,1.8,-41,4.8,Species Richness,6
Maintain Current/Hyp/SW,Insects,Protection from other Organisms,0,-11,30,Species Richness,6
Maintain Current/Hyp/SW,Insects,Recreational Enjoyment,0,-11,30,Species Richness,6
Maintain Current/Hyp/SW,Insects,Social Fulfilment,0,-19,20,Species Richness,6
Maintain Current/Hyp/SW,Insects,Spiritual-philosophical Fulfilment,4.2,-33.8,28.2,Species Richness,6
Maintain Current/Rei,Insects,Adequate Resources,-0.42,-40.44,26.4,Species Richness,7
Maintain Current/Rei,Insects,Aesthetically Pleasing Environment,-0.06,-17.4,30.24,Species Richness,7
Maintain Current/Rei,Insects,Benign Physical Environment,0,-42.12,38,Species Richness,7
Maintain Current/Rei,Insects,Cultural Heritage Fulfilment,-0.42,-40.44,26.4,Species Richness,7
Maintain Current/Rei,Insects,Meaningful Occupation,-0.18,-62.48,4.8,Species Richness,7
Maintain Current/Rei,Insects,Protection from other Organisms,0,-11,29.64,Species Richness,7
Maintain Current/Rei,Insects,Recreational Enjoyment,0,-19,19.64,Species Richness,7
Maintain Current/Rei,Insects,Social Fulfilment,0,-19,19.64,Species Richness,7
Maintain Current/Rei,Insects,Spiritual-philosophical Fulfilment,-0.42,-40.44,26.4,Species Richness,7
Maintain Current/Rei/SW,Insects,Adequate Resources,-0.42,-40.44,26.4,Species Richness,8
Maintain Current/Rei/SW,Insects,Aesthetically Pleasing Environment,-0.06,-17.4,30.24,Species Richness,8
Maintain Current/Rei/SW,Insects,Benign Physical Environment,0,-42.12,38,Species Richness,8
Maintain Current/Rei/SW,Insects,Cultural Heritage Fulfilment,-0.42,-40.44,26.4,Species Richness,8
Maintain Current/Rei/SW,Insects,Meaningful Occupation,-0.18,-62.48,4.8,Species Richness,8
Maintain Current/Rei/SW,Insects,Protection from other Organisms,0,-11,29.64,Species Richness,8
Maintain Current/Rei/SW,Insects,Recreational Enjoyment,0,-19,19.64,Species Richness,8
Maintain Current/Rei/SW,Insects,Social Fulfilment,0,-19,19.64,Species Richness,8
Maintain Current/Rei/SW,Insects,Spiritual-philosophical Fulfilment,-0.42,-40.44,26.4,Species Richness,8
Maintain Current/SW,Insects,Adequate Resources,-0.42,-40.44,26.4,Species Richness,9
Maintain Current/SW,Insects,Aesthetically Pleasing Environment,-0.06,-17.4,30.24,Species Richness,9
Maintain Current/SW,Insects,Benign Physical Environment,0,-42.12,38,Species Richness,9
Maintain Current/SW,Insects,Cultural Heritage Fulfilment,-0.42,-40.44,26.4,Species Richness,9
Maintain Current/SW,Insects,Meaningful Occupation,-0.18,-62.48,4.8,Species Richness,9
Maintain Current/SW,Insects,Protection from other Organisms,0,-11,29.64,Species Richness,9
Maintain Current/SW,Insects,Recreational Enjoyment,0,-19,19.64,Species Richness,9
Maintain Current/SW,Insects,Social Fulfilment,0,-19,19.64,Species Richness,9
Maintain Current/SW,Insects,Spiritual-philosophical Fulfilment,-0.42,-40.44,26.4,Species Richness,9
Do nothing,Lake Danger reeds,Adequate Resources,-7.2,-38,36.2,Abundance,1
Do nothing,Lake Danger reeds,Aesthetically Pleasing Environment,-10.8,-41,35.8,Abundance,1
Do nothing,Lake Danger reeds,Benign Physical Environment,-7.2,-38,36.2,Abundance,1
Do nothing,Lake Danger reeds,Cultural Heritage Fulfilment,-7.2,-38,36.2,Abundance,1
Do nothing,Lake Danger reeds,Meaningful Occupation,-7.2,-38,36.2,Abundance,1
Do nothing,Lake Danger reeds,Protection from other Organisms,-1.2,-10,32.4,Abundance,1
Do nothing,Lake Danger reeds,Recreational Enjoyment,-1.2,-10,32.4,Abundance,1
Do nothing,Lake Danger reeds,Social Fulfilment,-1.2,-10,32.4,Abundance,1
Do nothing,Lake Danger reeds,Spiritual-philosophical Fulfilment,-1.2,-10,32.4,Abundance,1
Maintain Current,Lake Danger reeds,Adequate Resources,0,-38,40.2,Abundance,2
Maintain Current,Lake Danger reeds,Aesthetically Pleasing Environment,0,-41,44.6,Abundance,2
Maintain Current,Lake Danger reeds,Benign Physical Environment,0,-38,40.2,Abundance,2
Maintain Current,Lake Danger reeds,Cultural Heritage Fulfilment,0,-38,40.2,Abundance,2
Maintain Current,Lake Danger reeds,Meaningful Occupation,0,-38,40.2,Abundance,2
Maintain Current,Lake Danger reeds,Protection from other Organisms,0,-10,34.6,Abundance,2
Maintain Current,Lake Danger reeds,Recreational Enjoyment,0,-10,34.6,Abundance,2
Maintain Current,Lake Danger reeds,Social Fulfilment,0,-10,34.6,Abundance,2
Maintain Current,Lake Danger reeds,Spiritual-philosophical Fulfilment,0,-10,34.6,Abundance,2
Maintain Current/Hyp,Lake Danger reeds,Adequate Resources,0,-38,40.2,Abundance,3
Maintain Current/Hyp,Lake Danger reeds,Aesthetically Pleasing Environment,0,-41,44.6,Abundance,3
Maintain Current/Hyp,Lake Danger reeds,Benign Physical Environment,0,-38,40.2,Abundance,3
Maintain Current/Hyp,Lake Danger reeds,Cultural Heritage Fulfilment,0,-38,40.2,Abundance,3
Maintain Current/Hyp,Lake Danger reeds,Meaningful Occupation,0,-38,40.2,Abundance,3
Maintain Current/Hyp,Lake Danger reeds,Protection from other Organisms,0,-10,34.6,Abundance,3
Maintain Current/Hyp,Lake Danger reeds,Recreational Enjoyment,0,-10,34.6,Abundance,3
Maintain Current/Hyp,Lake Danger reeds,Social Fulfilment,0,-10,34.6,Abundance,3
Maintain Current/Hyp,Lake Danger reeds,Spiritual-philosophical Fulfilment,0,-10,34.6,Abundance,3
Maintain Current/Hyp/Rei,Lake Danger reeds,Adequate Resources,0,-38,40.2,Abundance,4
Maintain Current/Hyp/Rei,Lake Danger reeds,Aesthetically Pleasing Environment,0,-41,44.6,Abundance,4
Maintain Current/Hyp/Rei,Lake Danger reeds,Benign Physical Environment,0,-38,40.2,Abundance,4
Maintain Current/Hyp/Rei,Lake Danger reeds,Cultural Heritage Fulfilment,0,-38,40.2,Abundance,4
Maintain Current/Hyp/Rei,Lake Danger reeds,Meaningful Occupation,0,-38,40.2,Abundance,4
Maintain Current/Hyp/Rei,Lake Danger reeds,Protection from other Organisms,0,-10,34.6,Abundance,4
Maintain Current/Hyp/Rei,Lake Danger reeds,Recreational Enjoyment,0,-10,34.6,Abundance,4
Maintain Current/Hyp/Rei,Lake Danger reeds,Social Fulfilment,0,-10,34.6,Abundance,4
Maintain Current/Hyp/Rei,Lake Danger reeds,Spiritual-philosophical Fulfilment,0,-10,34.6,Abundance,4
Maintain Current/Hyp/Rei/SW,Lake Danger reeds,Adequate Resources,0,-38,40.2,Abundance,5
Maintain Current/Hyp/Rei/SW,Lake Danger reeds,Aesthetically Pleasing Environment,0,-41,44.6,Abundance,5
Maintain Current/Hyp/Rei/SW,Lake Danger reeds,Benign Physical Environment,0,-38,40.2,Abundance,5
Maintain Current/Hyp/Rei/SW,Lake Danger reeds,Cultural Heritage Fulfilment,0,-38,40.2,Abundance,5
Maintain Current/Hyp/Rei/SW,Lake Danger reeds,Meaningful Occupation,0,-38,40.2,Abundance,5
Maintain Current/Hyp/Rei/SW,Lake Danger reeds,Protection from other Organisms,0,-10,34.6,Abundance,5
Maintain Current/Hyp/Rei/SW,Lake Danger reeds,Recreational Enjoyment,0,-10,34.6,Abundance,5
Maintain Current/Hyp/Rei/SW,Lake Danger reeds,Social Fulfilment,0,-10,34.6,Abundance,5
Maintain Current/Hyp/Rei/SW,Lake Danger reeds,Spiritual-philosophical Fulfilment,0,-10,34.6,Abundance,5
Maintain Current/Hyp/SW,Lake Danger reeds,Adequate Resources,0,-38,40.2,Abundance,6
Maintain Current/Hyp/SW,Lake Danger reeds,Aesthetically Pleasing Environment,0,-41,44.6,Abundance,6
Maintain Current/Hyp/SW,Lake Danger reeds,Benign Physical Environment,0,-38,40.2,Abundance,6
Maintain Current/Hyp/SW,Lake Danger reeds,Cultural Heritage Fulfilment,0,-38,40.2,Abundance,6
Maintain Current/Hyp/SW,Lake Danger reeds,Meaningful Occupation,0,-38,40.2,Abundance,6
Maintain Current/Hyp/SW,Lake Danger reeds,Protection from other Organisms,0,-10,34.6,Abundance,6
Maintain Current/Hyp/SW,Lake Danger reeds,Recreational Enjoyment,0,-10,34.6,Abundance,6
Maintain Current/Hyp/SW,Lake Danger reeds,Social Fulfilment,0,-10,34.6,Abundance,6
Maintain Current/Hyp/SW,Lake Danger reeds,Spiritual-philosophical Fulfilment,0,-10,34.6,Abundance,6
Maintain Current/Rei,Lake Danger reeds,Adequate Resources,0,-38,40.2,Abundance,7
Maintain Current/Rei,Lake Danger reeds,Aesthetically Pleasing Environment,0,-41,44.6,Abundance,7
Maintain Current/Rei,Lake Danger reeds,Benign Physical Environment,0,-38,40.2,Abundance,7
Maintain Current/Rei,Lake Danger reeds,Cultural Heritage Fulfilment,0,-38,40.2,Abundance,7
Maintain Current/Rei,Lake Danger reeds,Meaningful Occupation,0,-38,40.2,Abundance,7
Maintain Current/Rei,Lake Danger reeds,Protection from other Organisms,0,-10,34.6,Abundance,7
Maintain Current/Rei,Lake Danger reeds,Recreational Enjoyment,0,-10,34.6,Abundance,7
Maintain Current/Rei,Lake Danger reeds,Social Fulfilment,0,-10,34.6,Abundance,7
Maintain Current/Rei,Lake Danger reeds,Spiritual-philosophical Fulfilment,0,-10,34.6,Abundance,7
Maintain Current/Rei/SW,Lake Danger reeds,Adequate Resources,0,-38,40.2,Abundance,8
Maintain Current/Rei/SW,Lake Danger reeds,Aesthetically Pleasing Environment,0,-41,44.6,Abundance,8
Maintain Current/Rei/SW,Lake Danger reeds,Benign Physical Environment,0,-38,40.2,Abundance,8
Maintain Current/Rei/SW,Lake Danger reeds,Cultural Heritage Fulfilment,0,-38,40.2,Abundance,8
Maintain Current/Rei/SW,Lake Danger reeds,Meaningful Occupation,0,-38,40.2,Abundance,8
Maintain Current/Rei/SW,Lake Danger reeds,Protection from other Organisms,0,-10,34.6,Abundance,8
Maintain Current/Rei/SW,Lake Danger reeds,Recreational Enjoyment,0,-10,34.6,Abundance,8
Maintain Current/Rei/SW,Lake Danger reeds,Social Fulfilment,0,-10,34.6,Abundance,8
Maintain Current/Rei/SW,Lake Danger reeds,Spiritual-philosophical Fulfilment,0,-10,34.6,Abundance,8
Maintain Current/SW,Lake Danger reeds,Adequate Resources,0,-38,40.2,Abundance,9
Maintain Current/SW,Lake Danger reeds,Aesthetically Pleasing Environment,0,-41,44.6,Abundance,9
Maintain Current/SW,Lake Danger reeds,Benign Physical Environment,0,-38,40.2,Abundance,9
Maintain Current/SW,Lake Danger reeds,Cultural Heritage Fulfilment,0,-38,40.2,Abundance,9
Maintain Current/SW,Lake Danger reeds,Meaningful Occupation,0,-38,40.2,Abundance,9
Maintain Current/SW,Lake Danger reeds,Protection from other Organisms,0,-10,34.6,Abundance,9
Maintain Current/SW,Lake Danger reeds,Recreational Enjoyment,0,-10,34.6,Abundance,9
Maintain Current/SW,Lake Danger reeds,Social Fulfilment,0,-10,34.6,Abundance,9
Maintain Current/SW,Lake Danger reeds,Spiritual-philosophical Fulfilment,0,-10,34.6,Abundance,9
Do nothing,Native Fish,Adequate Resources,-4.55,-43.28,23.49,Species Richness,1
Do nothing,Native Fish,Aesthetically Pleasing Environment,0,-11,11.36,Species Richness,1
Do nothing,Native Fish,Benign Physical Environment,0,-11,11.36,Species Richness,1
Do nothing,Native Fish,Cultural Heritage Fulfilment,-5.77,-40.45,24.45,Species Richness,1
Do nothing,Native Fish,Meaningful Occupation,-8.85,-43.53,21.36,Species Richness,1
Do nothing,Native Fish,Protection from other Organisms,-0.68,-17.62,29.74,Species Richness,1
Do nothing,Native Fish,Recreational Enjoyment,-4.55,-43.28,23.49,Species Richness,1
Do nothing,Native Fish,Social Fulfilment,-4.55,-43.28,23.49,Species Richness,1
Do nothing,Native Fish,Spiritual-philosophical Fulfilment,-4.55,-43.28,23.49,Species Richness,1
Maintain Current,Native Fish,Adequate Resources,-1.79,-39.45,26.04,Species Richness,2
Maintain Current,Native Fish,Aesthetically Pleasing Environment,0,-11,11.87,Species Richness,2
Maintain Current,Native Fish,Benign Physical Environment,0,-11,11.87,Species Richness,2
Maintain Current,Native Fish,Cultural Heritage Fulfilment,-2.3,-30.87,24.45,Species Richness,2
Maintain Current,Native Fish,Meaningful Occupation,-3.57,-33.96,21.36,Species Richness,2
Maintain Current,Native Fish,Protection from other Organisms,-0.26,-17.62,30.26,Species Richness,2
Maintain Current,Native Fish,Recreational Enjoyment,-1.79,-39.45,26.04,Species Richness,2
Maintain Current,Native Fish,Social Fulfilment,-1.79,-39.45,26.04,Species Richness,2
Maintain Current,Native Fish,Spiritual-philosophical Fulfilment,-1.79,-39.45,26.04,Species Richness,2
Maintain Current/Hyp,Native Fish,Adequate Resources,-1.79,-39.45,26.04,Species Richness,3
Maintain Current/Hyp,Native Fish,Aesthetically Pleasing Environment,0,-11,11.87,Species Richness,3
Maintain Current/Hyp,Native Fish,Benign Physical Environment,0,-11,11.87,Species Richness,3
Maintain Current/Hyp,Native Fish,Cultural Heritage Fulfilment,-2.3,-30.87,24.45,Species Richness,3
Maintain Current/Hyp,Native Fish,Meaningful Occupation,-3.57,-33.96,21.36,Species Richness,3
Maintain Current/Hyp,Native Fish,Protection from other Organisms,-0.26,-17.62,30.26,Species Richness,3
Maintain Current/Hyp,Native Fish,Recreational Enjoyment,-1.79,-39.45,26.04,Species Richness,3
Maintain Current/Hyp,Native Fish,Social Fulfilment,-1.79,-39.45,26.04,Species Richness,3
Maintain Current/Hyp,Native Fish,Spiritual-philosophical Fulfilment,-1.79,-39.45,26.04,Species Richness,3
Maintain Current/Hyp/Rei,Native Fish,Adequate Resources,2.68,-29.32,26.68,Species Richness,4
Maintain Current/Hyp/Rei,Native Fish,Aesthetically Pleasing Environment,0,-11,12,Species Richness,4
Maintain Current/Hyp/Rei,Native Fish,Benign Physical Environment,0,-11,12,Species Richness,4
Maintain Current/Hyp/Rei,Native Fish,Cultural Heritage Fulfilment,3.45,-20.55,24.45,Species Richness,4
Maintain Current/Hyp/Rei,Native Fish,Meaningful Occupation,5.36,-23.64,21.36,Species Richness,4
Maintain Current/Hyp/Rei,Native Fish,Protection from other Organisms,0.38,-17.62,30.38,Species Richness,4
Maintain Current/Hyp/Rei,Native Fish,Recreational Enjoyment,2.68,-29.32,26.68,Species Richness,4
Maintain Current/Hyp/Rei,Native Fish,Social Fulfilment,2.68,-29.32,26.68,Species Richness,4
Maintain Current/Hyp/Rei,Native Fish,Spiritual-philosophical Fulfilment,2.68,-29.32,26.68,Species Richness,4
Maintain Current/Hyp/Rei/SW,Native Fish,Adequate Resources,2.68,-29.32,26.68,Species Richness,5
Maintain Current/Hyp/Rei/SW,Native Fish,Aesthetically Pleasing Environment,0,-11,12,Species Richness,5
Maintain Current/Hyp/Rei/SW,Native Fish,Benign Physical Environment,0,-11,12,Species Richness,5
Maintain Current/Hyp/Rei/SW,Native Fish,Cultural Heritage Fulfilment,3.45,-20.55,24.45,Species Richness,5
Maintain Current/Hyp/Rei/SW,Native Fish,Meaningful Occupation,5.36,-23.64,21.36,Species Richness,5
Maintain Current/Hyp/Rei/SW,Native Fish,Protection from other Organisms,0.38,-17.62,30.38,Species Richness,5
Maintain Current/Hyp/Rei/SW,Native Fish,Recreational Enjoyment,2.68,-29.32,26.68,Species Richness,5
Maintain Current/Hyp/Rei/SW,Native Fish,Social Fulfilment,2.68,-29.32,26.68,Species Richness,5
Maintain Current/Hyp/Rei/SW,Native Fish,Spiritual-philosophical Fulfilment,2.68,-29.32,26.68,Species Richness,5
Maintain Current/Hyp/SW,Native Fish,Adequate Resources,-1.79,-39.45,26.04,Species Richness,6
Maintain Current/Hyp/SW,Native Fish,Aesthetically Pleasing Environment,0,-11,11.87,Species Richness,6
Maintain Current/Hyp/SW,Native Fish,Benign Physical Environment,0,-11,11.87,Species Richness,6
Maintain Current/Hyp/SW,Native Fish,Cultural Heritage Fulfilment,-2.3,-30.87,24.45,Species Richness,6
Maintain Current/Hyp/SW,Native Fish,Meaningful Occupation,-3.57,-33.96,21.36,Species Richness,6
Maintain Current/Hyp/SW,Native Fish,Protection from other Organisms,-0.26,-17.62,30.26,Species Richness,6
Maintain Current/Hyp/SW,Native Fish,Recreational Enjoyment,-1.79,-39.45,26.04,Species Richness,6
Maintain Current/Hyp/SW,Native Fish,Social Fulfilment,-1.79,-39.45,26.04,Species Richness,6
Maintain Current/Hyp/SW,Native Fish,Spiritual-philosophical Fulfilment,-1.79,-39.45,26.04,Species Richness,6
Maintain Current/Rei,Native Fish,Adequate Resources,2.68,-29.32,26.68,Species Richness,7
Maintain Current/Rei,Native Fish,Aesthetically Pleasing Environment,0,-11,12,Species Richness,7
Maintain Current/Rei,Native Fish,Benign Physical Environment,0,-11,12,Species Richness,7
Maintain Current/Rei,Native Fish,Cultural Heritage Fulfilment,3.45,-20.55,24.45,Species Richness,7
Maintain Current/Rei,Native Fish,Meaningful Occupation,5.36,-23.64,21.36,Species Richness,7
Maintain Current/Rei,Native Fish,Protection from other Organisms,0.38,-17.62,30.38,Species Richness,7
Maintain Current/Rei,Native Fish,Recreational Enjoyment,2.68,-29.32,26.68,Species Richness,7
Maintain Current/Rei,Native Fish,Social Fulfilment,2.68,-29.32,26.68,Species Richness,7
Maintain Current/Rei,Native Fish,Social Fulfilment,2.68,-29.32,26.68,Species Richness,7
Maintain Current/Rei/SW,Native Fish,Adequate Resources,2.68,-29.32,26.68,Species Richness,8
Maintain Current/Rei/SW,Native Fish,Aesthetically Pleasing Environment,0,-11,12,Species Richness,8
Maintain Current/Rei/SW,Native Fish,Benign Physical Environment,0,-11,12,Species Richness,8
Maintain Current/Rei/SW,Native Fish,Cultural Heritage Fulfilment,3.45,-20.55,24.45,Species Richness,8
Maintain Current/Rei/SW,Native Fish,Meaningful Occupation,5.36,-23.64,21.36,Species Richness,8
Maintain Current/Rei/SW,Native Fish,Protection from other Organisms,0.38,-17.62,30.38,Species Richness,8
Maintain Current/Rei/SW,Native Fish,Recreational Enjoyment,2.68,-29.32,26.68,Species Richness,8
Maintain Current/Rei/SW,Native Fish,Social Fulfilment,2.68,-29.32,26.68,Species Richness,8
Maintain Current/Rei/SW,Native Fish,Spiritual-philosophical Fulfilment,2.68,-29.32,26.68,Species Richness,8
Maintain Current/SW,Native Fish,Adequate Resources,-0.89,-34.43,26.04,Species Richness,9
Maintain Current/SW,Native Fish,Aesthetically Pleasing Environment,0,-11,11.87,Species Richness,9
Maintain Current/SW,Native Fish,Benign Physical Environment,0,-11,11.87,Species Richness,9
Maintain Current/SW,Native Fish,Cultural Heritage Fulfilment,-1.15,-25.66,24.45,Species Richness,9
Maintain Current/SW,Native Fish,Meaningful Occupation,-1.79,-28.74,21.36,Species Richness,9
Maintain Current/SW,Native Fish,Protection from other Organisms,-0.13,-17.62,30.26,Species Richness,9
Maintain Current/SW,Native Fish,Recreational Enjoyment,-0.89,-34.43,26.04,Species Richness,9
Maintain Current/SW,Native Fish,Social Fulfilment,-0.89,-34.43,26.04,Species Richness,9
Maintain Current/SW,Native Fish,Spiritual-philosophical Fulfilment,-0.89,-34.43,26.04,Species Richness,9
Do nothing,Revegetated Forrest,Adequate Resources,-7.16,-28.53,32.79,Species Richness,1
Do nothing,Revegetated Forrest,Aesthetically Pleasing Environment,-7.16,-28.53,32.79,Species Richness,1
Do nothing,Revegetated Forrest,Benign Physical Environment,-4.63,-25.84,26.84,Species Richness,1
Do nothing,Revegetated Forrest,Cultural Heritage Fulfilment,-4.63,-25.84,25.37,Species Richness,1
Do nothing,Revegetated Forrest,Meaningful Occupation,-4.63,-25.84,25.37,Species Richness,1
Do nothing,Revegetated Forrest,Protection from other Organisms,-2.11,-8.42,29.21,Species Richness,1
Do nothing,Revegetated Forrest,Recreational Enjoyment,-2.11,-8.42,29.21,Species Richness,1
Do nothing,Revegetated Forrest,Social Fulfilment,-2.11,-8.42,29.21,Species Richness,1
Do nothing,Revegetated Forrest,Spiritual-philosophical Fulfilment,-2.11,-8.42,29.21,Species Richness,1
Maintain Current,Revegetated Forrest,Adequate Resources,0,-28.53,32.79,Species Richness,2
Maintain Current,Revegetated Forrest,Aesthetically Pleasing Environment,0,-28.53,32.79,Species Richness,2
Maintain Current,Revegetated Forrest,Benign Physical Environment,0,-25.84,26.84,Species Richness,2
Maintain Current,Revegetated Forrest,Cultural Heritage Fulfilment,0,-25.84,25.37,Species Richness,2
Maintain Current,Revegetated Forrest,Meaningful Occupation,0,-25.84,25.37,Species Richness,2
Maintain Current,Revegetated Forrest,Protection from other Organisms,0,-8.42,29.21,Species Richness,2
Maintain Current,Revegetated Forrest,Recreational Enjoyment,0,-8.42,29.21,Species Richness,2
Maintain Current,Revegetated Forrest,Social Fulfilment,0,-8.42,29.21,Species Richness,2
