Option,Element,Value,Centroid.1,Lower.1,Upper.1,Property.1,OptionNumber
Maintain Current,Revegetated Forrest,Spiritual-philosophical Fulfilment,0,-8.42,29.21,Species Richness,2
Maintain Current/Hyp,Revegetated Forrest,Adequate Resources,0,-28.53,32.79,Species Richness,3
Maintain Current/Hyp,Revegetated Forrest,Aesthetically Pleasing Environment,0,-28.53,32.79,Species Richness,3
Maintain Current/Hyp,Revegetated Forrest,Benign Physical Environment,0,-25.84,26.84,Species Richness,3
Maintain Current/Hyp,Revegetated Forrest,Cultural Heritage Fulfilment,0,-25.84,25.37,Species Richness,3
Maintain Current/Hyp,Revegetated Forrest,Meaningful Occupation,0,-25.84,25.37,Species Richness,3
Maintain Current/Hyp,Revegetated Forrest,Protection from other Organisms,0,-8.42,29.21,Species Richness,3
Maintain Current/Hyp,Revegetated Forrest,Recreational Enjoyment,0,-8.42,29.21,Species Richness,3
Maintain Current/Hyp,Revegetated Forrest,Social Fulfilment,0,-8.42,29.21,Species Richness,3
Maintain Current/Hyp,Revegetated Forrest,Spiritual-philosophical Fulfilment,0,-8.42,29.21,Species Richness,3
Maintain Current/Hyp/Rei,Revegetated Forrest,Adequate Resources,35.47,-10,59.47,Species Richness,4
Maintain Current/Hyp/Rei,Revegetated Forrest,Aesthetically Pleasing Environment,35.47,-10,59.47,Species Richness,4
Maintain Current/Hyp/Rei,Revegetated Forrest,Benign Physical Environment,13.16,-25.84,48.16,Species Richness,4
Maintain Current/Hyp/Rei,Revegetated Forrest,Cultural Heritage Fulfilment,10.16,-25.84,37.16,Species Richness,4
Maintain Current/Hyp/Rei,Revegetated Forrest,Meaningful Occupation,10.16,-25.84,37.16,Species Richness,4
Maintain Current/Hyp/Rei,Revegetated Forrest,Protection from other Organisms,9.58,-8.42,39.58,Species Richness,4
Maintain Current/Hyp/Rei,Revegetated Forrest,Recreational Enjoyment,9.58,-8.42,39.58,Species Richness,4
Maintain Current/Hyp/Rei,Revegetated Forrest,Social Fulfilment,9.58,-8.42,39.58,Species Richness,4
Maintain Current/Hyp/Rei,Revegetated Forrest,Spiritual-philosophical Fulfilment,9.58,-8.42,39.58,Species Richness,4
Maintain Current/Hyp/Rei/SW,Revegetated Forrest,Adequate Resources,0,-28.53,32.79,Species Richness,5
Maintain Current/Hyp/Rei/SW,Revegetated Forrest,Aesthetically Pleasing Environment,0,-28.53,32.79,Species Richness,5
Maintain Current/Hyp/Rei/SW,Revegetated Forrest,Benign Physical Environment,0,-25.84,26.84,Species Richness,5
Maintain Current/Hyp/Rei/SW,Revegetated Forrest,Cultural Heritage Fulfilment,0,-25.84,25.37,Species Richness,5
Maintain Current/Hyp/Rei/SW,Revegetated Forrest,Meaningful Occupation,0,-25.84,25.37,Species Richness,5
Maintain Current/Hyp/Rei/SW,Revegetated Forrest,Protection from other Organisms,0,-8.42,29.21,Species Richness,5
Maintain Current/Hyp/Rei/SW,Revegetated Forrest,Recreational Enjoyment,0,-8.42,29.21,Species Richness,5
Maintain Current/Hyp/Rei/SW,Revegetated Forrest,Social Fulfilment,0,-8.42,29.21,Species Richness,5
Maintain Current/Hyp/Rei/SW,Revegetated Forrest,Spiritual-philosophical Fulfilment,0,-8.42,29.21,Species Richness,5
Maintain Current/Hyp/SW,Revegetated Forrest,Adequate Resources,0,-28.53,32.79,Species Richness,6
Maintain Current/Hyp/SW,Revegetated Forrest,Aesthetically Pleasing Environment,0,-28.53,32.79,Species Richness,6
Maintain Current/Hyp/SW,Revegetated Forrest,Benign Physical Environment,0,-25.84,26.84,Species Richness,6
Maintain Current/Hyp/SW,Revegetated Forrest,Cultural Heritage Fulfilment,0,-25.84,25.37,Species Richness,6
Maintain Current/Hyp/SW,Revegetated Forrest,Meaningful Occupation,0,-25.84,25.37,Species Richness,6
Maintain Current/Hyp/SW,Revegetated Forrest,Protection from other Organisms,0,-8.42,29.21,Species Richness,6
Maintain Current/Hyp/SW,Revegetated Forrest,Recreational Enjoyment,0,-8.42,29.21,Species Richness,6
Maintain Current/Hyp/SW,Revegetated Forrest,Social Fulfilment,0,-8.42,29.21,Species Richness,6
Maintain Current/Hyp/SW,Revegetated Forrest,Spiritual-philosophical Fulfilment,0,-8.42,29.21,Species Richness,6
Maintain Current/Rei,Revegetated Forrest,Adequate Resources,35.47,-10,59.47,Species Richness,7
Maintain Current/Rei,Revegetated Forrest,Aesthetically Pleasing Environment,35.47,-10,59.47,Species Richness,7
Maintain Current/Rei,Revegetated Forrest,Benign Physical Environment,13.16,-25.84,48.16,Species Richness,7
Maintain Current/Rei,Revegetated Forrest,Cultural Heritage Fulfilment,10.16,-25.84,37.16,Species Richness,7
Maintain Current/Rei,Revegetated Forrest,Meaningful Occupation,10.16,-25.84,37.16,Species Richness,7
Maintain Current/Rei,Revegetated Forrest,Protection from other Organisms,9.58,-8.42,39.58,Species Richness,7
Maintain Current/Rei,Revegetated Forrest,Recreational Enjoyment,9.58,-8.42,39.58,Species Richness,7
Maintain Current/Rei,Revegetated Forrest,Social Fulfilment,9.58,-8.42,39.58,Species Richness,7
Maintain Current/Rei,Revegetated Forrest,Spiritual-philosophical Fulfilment,9.58,-8.42,39.58,Species Richness,7
Maintain Current/Rei/SW,Revegetated Forrest,Adequate Resources,35.47,-10,59.47,Species Richness,8
Maintain Current/Rei/SW,Revegetated Forrest,Aesthetically Pleasing Environment,35.47,-10,59.47,Species Richness,8
Maintain Current/Rei/SW,Revegetated Forrest,Benign Physical Environment,13.16,-25.84,48.16,Species Richness,8
Maintain Current/Rei/SW,Revegetated Forrest,Cultural Heritage Fulfilment,10.16,-25.84,37.16,Species Richness,8
Maintain Current/Rei/SW,Revegetated Forrest,Meaningful Occupation,10.16,-25.84,37.16,Species Richness,8
Maintain Current/Rei/SW,Revegetated Forrest,Protection from other Organisms,9.58,-8.42,39.58,Species Richness,8
Maintain Current/Rei/SW,Revegetated Forrest,Recreational Enjoyment,9.58,-8.42,39.58,Species Richness,8
Maintain Current/Rei/SW,Revegetated Forrest,Social Fulfilment,9.58,-8.42,39.58,Species Richness,8
Maintain Current/Rei/SW,Revegetated Forrest,Spiritual-philosophical Fulfilment,9.58,-8.42,39.58,Species Richness,8
Maintain Current/SW,Revegetated Forrest,Adequate Resources,0,-28.53,32.79,Species Richness,9
Maintain Current/SW,Revegetated Forrest,Aesthetically Pleasing Environment,0,-28.53,32.79,Species Richness,9
Maintain Current/SW,Revegetated Forrest,Benign Physical Environment,0,-25.84,26.84,Species Richness,9
Maintain Current/SW,Revegetated Forrest,Cultural Heritage Fulfilment,0,-25.84,25.37,Species Richness,9
Maintain Current/SW,Revegetated Forrest,Meaningful Occupation,0,-25.84,25.37,Species Richness,9
Maintain Current/SW,Revegetated Forrest,Protection from other Organisms,0,-8.42,29.21,Species Richness,9
Maintain Current/SW,Revegetated Forrest,Recreational Enjoyment,0,-8.42,29.21,Species Richness,9
Maintain Current/SW,Revegetated Forrest,Social Fulfilment,0,-8.42,29.21,Species Richness,9
Maintain Current/SW,Revegetated Forrest,Spiritual-philosophical Fulfilment,0,-8.42,29.21,Species Richness,9
Do nothing,Riparian Vegetation,Adequate Resources,-16.65,-68.49,19.7,Species Richness,1
Do nothing,Riparian Vegetation,Aesthetically Pleasing Environment,-8.89,-44.3,22.77,Species Richness,1
Do nothing,Riparian Vegetation,Benign Physical Environment,-9.46,-44.86,22.2,Species Richness,1
Do nothing,Riparian Vegetation,Cultural Heritage Fulfilment,-8.89,-44.3,22.77,Species Richness,1
Do nothing,Riparian Vegetation,Meaningful Occupation,-2.3,-17.14,28.73,Species Richness,1
Do nothing,Riparian Vegetation,Protection from other Organisms,-16.65,-68.49,19.7,Species Richness,1
Do nothing,Riparian Vegetation,Recreational Enjoyment,-9.46,-44.86,22.2,Species Richness,1
Do nothing,Riparian Vegetation,Social Fulfilment,-9.46,-44.86,22.2,Species Richness,1
Do nothing,Riparian Vegetation,Spiritual-philosophical Fulfilment,-8.89,-44.3,22.77,Species Richness,1
Maintain Current,Riparian Vegetation,Adequate Resources,-0.95,-46.05,26.46,Species Richness,2
Maintain Current,Riparian Vegetation,Aesthetically Pleasing Environment,-0.6,-36.17,27.44,Species Richness,2
Maintain Current,Riparian Vegetation,Benign Physical Environment,-0.6,-36.17,27.44,Species Richness,2
Maintain Current,Riparian Vegetation,Cultural Heritage Fulfilment,-0.6,-36.17,27.44,Species Richness,2
Maintain Current,Riparian Vegetation,Meaningful Occupation,-0.09,-17.14,30.34,Species Richness,2
Maintain Current,Riparian Vegetation,Protection from other Organisms,-0.95,-46.05,26.46,Species Richness,2
Maintain Current,Riparian Vegetation,Recreational Enjoyment,-0.95,-36.73,26.88,Species Richness,2
Maintain Current,Riparian Vegetation,Social Fulfilment,-0.95,-36.73,26.88,Species Richness,2
Maintain Current,Riparian Vegetation,Spiritual-philosophical Fulfilment,-0.95,-36.73,26.88,Species Richness,2
Maintain Current/Hyp,Riparian Vegetation,Adequate Resources,-0.95,-46.05,26.46,Species Richness,3
Maintain Current/Hyp,Riparian Vegetation,Aesthetically Pleasing Environment,-0.6,-36.17,27.44,Species Richness,3
Maintain Current/Hyp,Riparian Vegetation,Benign Physical Environment,-0.6,-36.17,27.44,Species Richness,3
Maintain Current/Hyp,Riparian Vegetation,Cultural Heritage Fulfilment,-0.6,-36.17,27.44,Species Richness,3
Maintain Current/Hyp,Riparian Vegetation,Meaningful Occupation,-0.09,-17.14,30.34,Species Richness,3
Maintain Current/Hyp,Riparian Vegetation,Protection from other Organisms,-0.95,-46.05,26.46,Species Richness,3
Maintain Current/Hyp,Riparian Vegetation,Recreational Enjoyment,-0.95,-36.73,26.88,Species Richness,3
Maintain Current/Hyp,Riparian Vegetation,Social Fulfilment,-0.95,-36.73,26.88,Species Richness,3
Maintain Current/Hyp,Riparian Vegetation,Spiritual-philosophical Fulfilment,-0.95,-36.73,26.88,Species Richness,3
Maintain Current/Hyp/Rei,Riparian Vegetation,Adequate Resources,-0.95,-46.05,26.46,Species Richness,4
Maintain Current/Hyp/Rei,Riparian Vegetation,Aesthetically Pleasing Environment,-0.6,-36.17,27.44,Species Richness,4
Maintain Current/Hyp/Rei,Riparian Vegetation,Benign Physical Environment,-0.6,-36.17,27.44,Species Richness,4
Maintain Current/Hyp/Rei,Riparian Vegetation,Cultural Heritage Fulfilment,-0.6,-36.17,27.44,Species Richness,4
Maintain Current/Hyp/Rei,Riparian Vegetation,Meaningful Occupation,-0.09,-17.14,30.34,Species Richness,4
Maintain Current/Hyp/Rei,Riparian Vegetation,Protection from other Organisms,-0.95,-46.05,26.46,Species Richness,4
Maintain Current/Hyp/Rei,Riparian Vegetation,Recreational Enjoyment,-0.95,-36.73,26.88,Species Richness,4
Maintain Current/Hyp/Rei,Riparian Vegetation,Social Fulfilment,-0.95,-36.73,26.88,Species Richness,4
Maintain Current/Hyp/Rei,Riparian Vegetation,Spiritual-philosophical Fulfilment,-0.95,-36.73,26.88,Species Richness,4
Maintain Current/Hyp/Rei/SW,Riparian Vegetation,Adequate Resources,0,-44.51,26.46,Species Richness,5
Maintain Current/Hyp/Rei/SW,Riparian Vegetation,Aesthetically Pleasing Environment,0,-35.44,30.02,Species Richness,5
Maintain Current/Hyp/Rei/SW,Riparian Vegetation,Benign Physical Environment,0,-35.44,30.02,Species Richness,5
Maintain Current/Hyp/Rei/SW,Riparian Vegetation,Cultural Heritage Fulfilment,0,-35.44,30.02,Species Richness,5
Maintain Current/Hyp/Rei/SW,Riparian Vegetation,Meaningful Occupation,0,-17.14,30.86,Species Richness,5
Maintain Current/Hyp/Rei/SW,Riparian Vegetation,Protection from other Organisms,0,-44.51,26.46,Species Richness,5
Maintain Current/Hyp/Rei/SW,Riparian Vegetation,Recreational Enjoyment,0,-36,29.46,Species Richness,5
Maintain Current/Hyp/Rei/SW,Riparian Vegetation,Social Fulfilment,0,-36,29.46,Species Richness,5
Maintain Current/Hyp/Rei/SW,Riparian Vegetation,Spiritual-philosophical Fulfilment,0,-36,29.46,Species Richness,5
Maintain Current/Hyp/SW,Riparian Vegetation,Adequate Resources,0,-44.51,26.46,Species Richness,6
Maintain Current/Hyp/SW,Riparian Vegetation,Aesthetically Pleasing Environment,0,-35.44,30.02,Species Richness,6
Maintain Current/Hyp/SW,Riparian Vegetation,Benign Physical Environment,0,-35.44,30.02,Species Richness,6
Maintain Current/Hyp/SW,Riparian Vegetation,Cultural Heritage Fulfilment,0,-35.44,30.02,Species Richness,6
Maintain Current/Hyp/SW,Riparian Vegetation,Meaningful Occupation,0,-17.14,30.86,Species Richness,6
Maintain Current/Hyp/SW,Riparian Vegetation,Protection from other Organisms,0,-44.51,26.46,Species Richness,6
Maintain Current/Hyp/SW,Riparian Vegetation,Recreational Enjoyment,0,-36,29.46,Species Richness,6
Maintain Current/Hyp/SW,Riparian Vegetation,Social Fulfilment,0,-36,29.46,Species Richness,6
Maintain Current/Hyp/SW,Riparian Vegetation,Spiritual-philosophical Fulfilment,0,-36,29.46,Species Richness,6
Maintain Current/Rei,Riparian Vegetation,Adequate Resources,-0.95,-46.05,26.46,Species Richness,7
Maintain Current/Rei,Riparian Vegetation,Aesthetically Pleasing Environment,-0.6,-36.17,27.44,Species Richness,7
Maintain Current/Rei,Riparian Vegetation,Benign Physical Environment,-0.6,-36.17,27.44,Species Richness,7
Maintain Current/Rei,Riparian Vegetation,Cultural Heritage Fulfilment,-0.6,-36.17,27.44,Species Richness,7
Maintain Current/Rei,Riparian Vegetation,Meaningful Occupation,-0.09,-17.14,30.34,Species Richness,7
Maintain Current/Rei,Riparian Vegetation,Protection from other Organisms,-0.95,-46.05,26.46,Species Richness,7
Maintain Current/Rei,Riparian Vegetation,Recreational Enjoyment,-0.95,-36.73,26.88,Species Richness,7
Maintain Current/Rei,Riparian Vegetation,Social Fulfilment,-0.95,-36.73,26.88,Species Richness,7
Maintain Current/Rei,Riparian Vegetation,Spiritual-philosophical Fulfilment,-0.95,-36.73,26.88,Species Richness,7
Maintain Current/Rei/SW,Riparian Vegetation,Adequate Resources,0,-44.51,26.46,Species Richness,8
Maintain Current/Rei/SW,Riparian Vegetation,Aesthetically Pleasing Environment,0,-35.44,30.02,Species Richness,8
Maintain Current/Rei/SW,Riparian Vegetation,Benign Physical Environment,0,-35.44,30.02,Species Richness,8
Maintain Current/Rei/SW,Riparian Vegetation,Cultural Heritage Fulfilment,0,-35.44,30.02,Species Richness,8
Maintain Current/Rei/SW,Riparian Vegetation,Meaningful Occupation,0,-17.14,30.86,Species Richness,8
Maintain Current/Rei/SW,Riparian Vegetation,Protection from other Organisms,0,-44.51,26.46,Species Richness,8
Maintain Current/Rei/SW,Riparian Vegetation,Recreational Enjoyment,0,-36,29.46,Species Richness,8
Maintain Current/Rei/SW,Riparian Vegetation,Social Fulfilment,0,-36,29.46,Species Richness,8
Maintain Current/Rei/SW,Riparian Vegetation,Spiritual-philosophical Fulfilment,0,-36,29.46,Species Richness,8
Maintain Current/SW,Riparian Vegetation,Adequate Resources,0,-44.51,26.46,Species Richness,9
Maintain Current/SW,Riparian Vegetation,Aesthetically Pleasing Environment,0,-35.44,30.02,Species Richness,9
Maintain Current/SW,Riparian Vegetation,Benign Physical Environment,0,-35.44,30.02,Species Richness,9
Maintain Current/SW,Riparian Vegetation,Cultural Heritage Fulfilment,0,-35.44,30.02,Species Richness,9
Maintain Current/SW,Riparian Vegetation,Meaningful Occupation,0,-17.14,30.86,Species Richness,9
Maintain Current/SW,Riparian Vegetation,Protection from other Organisms,0,-44.51,26.46,Species Richness,9
Maintain Current/SW,Riparian Vegetation,Recreational Enjoyment,0,-36,29.46,Species Richness,9
Maintain Current/SW,Riparian Vegetation,Social Fulfilment,0,-36,29.46,Species Richness,9
Maintain Current/SW,Riparian Vegetation,Spiritual-philosophical Fulfilment,0,-36,29.46,Species Richness,9
Do nothing,Royal Rose Forrest,Adequate Resources,-35.34,-54,7.66,Abundance,1
Do nothing,Royal Rose Forrest,Aesthetically Pleasing Environment,-70.34,-75.67,-29.34,Abundance,1
Do nothing,Royal Rose Forrest,Benign Physical Environment,-5.34,-10.67,11.67,Abundance,1
Do nothing,Royal Rose Forrest,Cultural Heritage Fulfilment,-35.34,-54,7.66,Abundance,1
Do nothing,Royal Rose Forrest,Meaningful Occupation,-12,-17.33,21.66,Abundance,1
Do nothing,Royal Rose Forrest,Protection from other Organisms,-12,-17.33,21.66,Abundance,1
Do nothing,Royal Rose Forrest,Recreational Enjoyment,-70.34,-75.67,-29.34,Abundance,1
Do nothing,Royal Rose Forrest,Social Fulfilment,-70.34,-75.67,-29.34,Abundance,1
Do nothing,Royal Rose Forrest,Spiritual-philosophical Fulfilment,-24.01,-42.67,7.66,Abundance,1
Maintain Current,Royal Rose Forrest,Adequate Resources,0,-34,27,Abundance,2
Maintain Current,Royal Rose Forrest,Aesthetically Pleasing Environment,0,-53,24.33,Abundance,2
Maintain Current,Royal Rose Forrest,Benign Physical Environment,0,-10.67,19.33,Abundance,2
Maintain Current,Royal Rose Forrest,Cultural Heritage Fulfilment,0,-34,27,Abundance,2
Maintain Current,Royal Rose Forrest,Meaningful Occupation,0,-17.33,30.67,Abundance,2
Maintain Current,Royal Rose Forrest,Protection from other Organisms,0,-17.33,30.67,Abundance,2
Maintain Current,Royal Rose Forrest,Recreational Enjoyment,0,-53,24.33,Abundance,2
Maintain Current,Royal Rose Forrest,Social Fulfilment,0,-53,24.33,Abundance,2
Maintain Current,Royal Rose Forrest,Spiritual-philosophical Fulfilment,0,-22.67,25.33,Abundance,2
Maintain Current/Hyp,Royal Rose Forrest,Adequate Resources,0,-34,27,Abundance,3
Maintain Current/Hyp,Royal Rose Forrest,Aesthetically Pleasing Environment,0,-53,24.33,Abundance,3
Maintain Current/Hyp,Royal Rose Forrest,Benign Physical Environment,0,-10.67,19.33,Abundance,3
Maintain Current/Hyp,Royal Rose Forrest,Cultural Heritage Fulfilment,0,-34,27,Abundance,3
Maintain Current/Hyp,Royal Rose Forrest,Meaningful Occupation,0,-17.33,30.67,Abundance,3
Maintain Current/Hyp,Royal Rose Forrest,Protection from other Organisms,0,-17.33,30.67,Abundance,3
Maintain Current/Hyp,Royal Rose Forrest,Recreational Enjoyment,0,-53,24.33,Abundance,3
Maintain Current/Hyp,Royal Rose Forrest,Social Fulfilment,0,-53,24.33,Abundance,3
Maintain Current/Hyp,Royal Rose Forrest,Spiritual-philosophical Fulfilment,0,-22.67,25.33,Abundance,3
Maintain Current/Hyp/Rei,Royal Rose Forrest,Adequate Resources,0,-34,27,Abundance,4
Maintain Current/Hyp/Rei,Royal Rose Forrest,Aesthetically Pleasing Environment,0,-53,24.33,Abundance,4
Maintain Current/Hyp/Rei,Royal Rose Forrest,Benign Physical Environment,0,-10.67,19.33,Abundance,4
Maintain Current/Hyp/Rei,Royal Rose Forrest,Cultural Heritage Fulfilment,0,-34,27,Abundance,4
Maintain Current/Hyp/Rei,Royal Rose Forrest,Meaningful Occupation,0,-17.33,30.67,Abundance,4
Maintain Current/Hyp/Rei,Royal Rose Forrest,Protection from other Organisms,0,-17.33,30.67,Abundance,4
Maintain Current/Hyp/Rei,Royal Rose Forrest,Recreational Enjoyment,0,-53,24.33,Abundance,4
Maintain Current/Hyp/Rei,Royal Rose Forrest,Social Fulfilment,0,-53,24.33,Abundance,4
Maintain Current/Hyp/Rei,Royal Rose Forrest,Spiritual-philosophical Fulfilment,0,-22.67,25.33,Abundance,4
Maintain Current/Hyp/Rei/SW,Royal Rose Forrest,Adequate Resources,0,-34,27,Abundance,5
Maintain Current/Hyp/Rei/SW,Royal Rose Forrest,Aesthetically Pleasing Environment,0,-53,24.33,Abundance,5
Maintain Current/Hyp/Rei/SW,Royal Rose Forrest,Benign Physical Environment,0,-10.67,19.33,Abundance,5
Maintain Current/Hyp/Rei/SW,Royal Rose Forrest,Cultural Heritage Fulfilment,0,-34,27,Abundance,5
Maintain Current/Hyp/Rei/SW,Royal Rose Forrest,Meaningful Occupation,0,-17.33,30.67,Abundance,5
Maintain Current/Hyp/Rei/SW,Royal Rose Forrest,Protection from other Organisms,0,-17.33,30.67,Abundance,5
Maintain Current/Hyp/Rei/SW,Royal Rose Forrest,Recreational Enjoyment,0,-53,24.33,Abundance,5
Maintain Current/Hyp/Rei/SW,Royal Rose Forrest,Social Fulfilment,0,-53,24.33,Abundance,5
Maintain Current/Hyp/Rei/SW,Royal Rose Forrest,Spiritual-philosophical Fulfilment,0,-22.67,25.33,Abundance,5
Maintain Current/Hyp/SW,Royal Rose Forrest,Adequate Resources,0,-34,27,Abundance,6
Maintain Current/Hyp/SW,Royal Rose Forrest,Aesthetically Pleasing Environment,0,-53,24.33,Abundance,6
Maintain Current/Hyp/SW,Royal Rose Forrest,Benign Physical Environment,0,-10.67,19.33,Abundance,6
Maintain Current/Hyp/SW,Royal Rose Forrest,Cultural Heritage Fulfilment,0,-34,27,Abundance,6
Maintain Current/Hyp/SW,Royal Rose Forrest,Meaningful Occupation,0,-17.33,30.67,Abundance,6
Maintain Current/Hyp/SW,Royal Rose Forrest,Protection from other Organisms,0,-17.33,30.67,Abundance,6
Maintain Current/Hyp/SW,Royal Rose Forrest,Recreational Enjoyment,0,-53,24.33,Abundance,6
Maintain Current/Hyp/SW,Royal Rose Forrest,Social Fulfilment,0,-53,24.33,Abundance,6
Maintain Current/Hyp/SW,Royal Rose Forrest,Spiritual-philosophical Fulfilment,0,-22.67,25.33,Abundance,6
Maintain Current/Rei,Royal Rose Forrest,Adequate Resources,0,-34,27,Abundance,7
Maintain Current/Rei,Royal Rose Forrest,Aesthetically Pleasing Environment,0,-53,24.33,Abundance,7
Maintain Current/Rei,Royal Rose Forrest,Benign Physical Environment,0,-10.67,19.33,Abundance,7
Maintain Current/Rei,Royal Rose Forrest,Cultural Heritage Fulfilment,0,-34,27,Abundance,7
Maintain Current/Rei,Royal Rose Forrest,Meaningful Occupation,0,-17.33,30.67,Abundance,7
Maintain Current/Rei,Royal Rose Forrest,Protection from other Organisms,0,-17.33,30.67,Abundance,7
Maintain Current/Rei,Royal Rose Forrest,Recreational Enjoyment,0,-53,24.33,Abundance,7
Maintain Current/Rei,Royal Rose Forrest,Social Fulfilment,0,-53,24.33,Abundance,7
Maintain Current/Rei,Royal Rose Forrest,Spiritual-philosophical Fulfilment,0,-22.67,25.33,Abundance,7
Maintain Current/Rei/SW,Royal Rose Forrest,Adequate Resources,0,-34,27,Abundance,8
Maintain Current/Rei/SW,Royal Rose Forrest,Aesthetically Pleasing Environment,0,-53,24.33,Abundance,8
Maintain Current/Rei/SW,Royal Rose Forrest,Benign Physical Environment,0,-10.67,19.33,Abundance,8
Maintain Current/Rei/SW,Royal Rose Forrest,Cultural Heritage Fulfilment,0,-34,27,Abundance,8
Maintain Current/Rei/SW,Royal Rose Forrest,Meaningful Occupation,0,-17.33,30.67,Abundance,8
Maintain Current/Rei/SW,Royal Rose Forrest,Protection from other Organisms,0,-17.33,30.67,Abundance,8
Maintain Current/Rei/SW,Royal Rose Forrest,Recreational Enjoyment,0,-53,24.33,Abundance,8
Maintain Current/Rei/SW,Royal Rose Forrest,Social Fulfilment,0,-53,24.33,Abundance,8
Maintain Current/Rei/SW,Royal Rose Forrest,Spiritual-philosophical Fulfilment,0,-22.67,25.33,Abundance,8
Maintain Current/SW,Royal Rose Forrest,Adequate Resources,0,-34,27,Abundance,9
Maintain Current/SW,Royal Rose Forrest,Aesthetically Pleasing Environment,0,-53,24.33,Abundance,9
Maintain Current/SW,Royal Rose Forrest,Benign Physical Environment,0,-10.67,19.33,Abundance,9
Maintain Current/SW,Royal Rose Forrest,Cultural Heritage Fulfilment,0,-34,27,Abundance,9
Maintain Current/SW,Royal Rose Forrest,Meaningful Occupation,0,-17.33,30.67,Abundance,9
Maintain Current/SW,Royal Rose Forrest,Protection from other Organisms,0,-17.33,30.67,Abundance,9
Maintain Current/SW,Royal Rose Forrest,Recreational Enjoyment,0,-53,24.33,Abundance,9
Maintain Current/SW,Royal Rose Forrest,Social Fulfilment,0,-53,24.33,Abundance,9
Maintain Current/SW,Royal Rose Forrest,Spiritual-philosophical Fulfilment,0,-22.67,25.33,Abundance,9
Do nothing,Small Mammals,Adequate Resources,-8.83,-39.22,16.78,Species Richness,1
Do nothing,Small Mammals,Aesthetically Pleasing Environment,-17.13,-56.17,19.26,Species Richness,1
Do nothing,Small Mammals,Benign Physical Environment,-5.83,-37.43,30.3,Species Richness,1
Do nothing,Small Mammals,Cultural Heritage Fulfilment,-17.13,-56.17,19.26,Species Richness,1
Do nothing,Small Mammals,Meaningful Occupation,-8.83,-39.22,16.78,Species Richness,1
Do nothing,Small Mammals,Protection from other Organisms,-8.83,-39.22,16.78,Species Richness,1
Do nothing,Small Mammals,Recreational Enjoyment,-17.13,-56.17,19.26,Species Richness,1
Do nothing,Small Mammals,Social Fulfilment,-4.87,-17.48,27.83,Species Richness,1
